ds,yhat,yhat_lower,yhat_upper
2023-01-01,798539147.3430419,798539147.1224482,798539147.5753459
2023-02-01,801827564.9834825,801827564.7525239,801827565.2043579
2023-03-01,815870184.8680453,815870184.6634486,815870185.086582
2023-04-01,808557526.6179962,808557526.404672,808557526.8592312
2024-01-01,810836608.4764786,810836608.2580806,810836608.712655
2024-02-01,802079147.4699955,802079147.2353848,802079147.6912475
2024-03-01,804422359.6170022,804422359.3712772,804422359.8442092
2024-04-01,804637845.1610296,804637844.9449496,804637845.3984895
2024-04-02,480799198.40876245,480799198.1749815,480799198.63198894
2024-04-03,141832992.47958374,141832992.24496964,141832992.699791
2024-04-04,-208072110.42858744,-208072110.63824573,-208072110.2063857
2024-04-05,-564637123.0849996,-564637123.2979939,-564637122.8477958
