vendor_id,tax_period,total_itc_claimed,itc_matched,itc_at_risk,leakage_percentage,aging_bucket
VND00712,2023-Q3,182477,141337,41140,22.55,31-60
VND04076,2023-Q2,484251,137707,346544,71.56,60+
VND03460,2023-Q1,398996,80604,318392,79.8,31-60
VND03245,2023-Q2,499022,322682,176340,35.34,60+
VND03271,2023-Q2,131996,55863,76133,57.68,31-60
VND02357,2023-Q1,166915,107930,58985,35.34,31-60
VND03698,2023-Q3,446599,312176,134423,30.1,60+
VND03650,2023-Q2,123545,30612,92933,75.22,31-60
VND00241,2023-Q2,152849,140040,12809,8.38,31-60
VND00395,2023-Q1,375090,327926,47164,12.57,60+
VND03001,2023-Q3,134168,129205,4963,3.7,60+
VND04166,2023-Q3,227911,205810,22101,9.7,0-30
VND02394,2023-Q1,311593,110776,200817,64.45,0-30
VND00207,2023-Q3,216254,101810,114444,52.92,60+
VND01707,2023-Q1,66900,22664,44236,66.12,60+
VND02651,2023-Q2,206915,160128,46787,22.61,0-30
VND04497,2023-Q1,91788,63723,28065,30.58,60+
VND01488,2023-Q3,388371,142005,246366,63.44,60+
VND02668,2023-Q1,476476,67404,409072,85.85,60+
VND01520,2023-Q3,74178,63874,10304,13.89,0-30
VND04695,2023-Q3,173942,100664,73278,42.13,60+
VND03667,2023-Q2,406738,223430,183308,45.07,60+
VND02712,2023-Q1,441888,365697,76191,17.24,31-60
VND04903,2023-Q3,165488,130986,34502,20.85,60+
VND01121,2023-Q3,280730,164146,116584,41.53,0-30
VND03750,2023-Q3,51697,28988,22709,43.93,60+
VND04029,2023-Q1,443224,337352,105872,23.89,60+
VND00801,2023-Q1,120876,114864,6012,4.97,60+
VND04280,2023-Q2,87948,23218,64730,73.6,31-60
VND03009,2023-Q1,340737,266981,73756,21.65,0-30
VND02949,2023-Q3,424814,81939,342875,80.71,60+
VND01979,2023-Q2,392173,148954,243219,62.02,60+
VND02943,2023-Q1,112523,26303,86220,76.62,60+
VND01882,2023-Q3,118005,84391,33614,28.49,31-60
VND04507,2023-Q1,443650,81634,362016,81.6,60+
VND04218,2023-Q2,187240,140954,46286,24.72,31-60
VND01464,2023-Q2,496583,408218,88365,17.79,0-30
VND04285,2023-Q2,338901,323410,15491,4.57,0-30
VND01653,2023-Q3,484830,430235,54595,11.26,0-30
VND04301,2023-Q2,460863,371575,89288,19.37,31-60
VND01288,2023-Q1,226876,114527,112349,49.52,60+
VND01990,2023-Q2,215460,42511,172949,80.27,60+
VND03676,2023-Q2,73695,41116,32579,44.21,0-30
VND00326,2023-Q3,132106,65574,66532,50.36,31-60
VND02296,2023-Q1,120357,87816,32541,27.04,0-30
VND01073,2023-Q3,493294,43734,449560,91.13,0-30
VND04928,2023-Q2,313304,267173,46131,14.72,31-60
VND03113,2023-Q1,70794,25588,45206,63.86,31-60
VND02355,2023-Q1,337935,237766,100169,29.64,60+
VND03826,2023-Q1,335311,70152,265159,79.08,0-30
VND02176,2023-Q1,181967,153074,28893,15.88,0-30
VND04748,2023-Q3,206172,104312,101860,49.41,60+
VND00325,2023-Q1,84890,75869,9021,10.63,0-30
VND00280,2023-Q2,164693,56190,108503,65.88,31-60
VND02571,2023-Q3,303396,113729,189667,62.51,0-30
VND01496,2023-Q1,353105,161332,191773,54.31,60+
VND01168,2023-Q1,451134,346020,105114,23.3,0-30
VND01773,2023-Q3,320489,56869,263620,82.26,0-30
VND01345,2023-Q2,106672,93007,13665,12.81,31-60
VND01470,2023-Q1,197672,179191,18481,9.35,31-60
VND04408,2023-Q2,495784,275485,220299,44.43,60+
VND04871,2023-Q3,331066,258689,72377,21.86,31-60
VND00878,2023-Q3,200109,156367,43742,21.86,60+
VND02497,2023-Q2,463375,312750,150625,32.51,0-30
VND03030,2023-Q3,262182,107214,154968,59.11,60+
VND04230,2023-Q1,256888,135587,121301,47.22,31-60
VND02304,2023-Q1,293190,224734,68456,23.35,60+
VND01060,2023-Q3,186300,163729,22571,12.12,60+
VND01841,2023-Q2,473333,383499,89834,18.98,0-30
VND04322,2023-Q1,499768,228836,270932,54.21,0-30
VND01679,2023-Q1,316747,267276,49471,15.62,60+
VND02901,2023-Q3,65179,36251,28928,44.38,31-60
VND02316,2023-Q3,79925,74681,5244,6.56,60+
VND00390,2023-Q3,433146,103598,329548,76.08,0-30
VND03585,2023-Q3,173783,75052,98731,56.81,0-30
VND03032,2023-Q2,72219,67607,4612,6.39,60+
VND04434,2023-Q3,290860,175967,114893,39.5,31-60
VND00953,2023-Q2,78555,22305,56250,71.61,0-30
VND00020,2023-Q2,229742,174169,55573,24.19,31-60
VND04368,2023-Q3,95582,69100,26482,27.71,0-30
VND04693,2023-Q1,370136,142342,227794,61.54,0-30
VND04751,2023-Q3,184134,93932,90202,48.99,0-30
VND00851,2023-Q1,431101,112038,319063,74.01,60+
VND04774,2023-Q2,384588,229212,155376,40.4,31-60
VND00116,2023-Q1,255918,244125,11793,4.61,31-60
VND02355,2023-Q2,333397,40760,292637,87.77,60+
VND00297,2023-Q1,443902,77832,366070,82.47,31-60
VND04132,2023-Q1,360681,60352,300329,83.27,0-30
VND02384,2023-Q2,355697,344921,10776,3.03,31-60
VND00965,2023-Q1,390529,276100,114429,29.3,0-30
VND03784,2023-Q2,192453,93706,98747,51.31,0-30
VND02920,2023-Q2,277441,185674,91767,33.08,31-60
VND03751,2023-Q3,409813,133676,276137,67.38,60+
VND00960,2023-Q1,302383,77941,224442,74.22,60+
VND01857,2023-Q1,205988,84322,121666,59.06,31-60
VND03095,2023-Q3,208685,52552,156133,74.82,31-60
VND04225,2023-Q3,424343,95926,328417,77.39,60+
VND04944,2023-Q2,432570,324170,108400,25.06,60+
VND02294,2023-Q1,210518,55074,155444,73.84,0-30
VND03690,2023-Q1,90540,66145,24395,26.94,31-60
VND02705,2023-Q3,458483,241929,216554,47.23,31-60
