ds,yhat,yhat_lower,yhat_upper
2023-01-01,322052695.3905866,322052695.3891661,322052695.39206564
2023-02-01,320111250.714582,320111250.71303356,320111250.7162316
2023-03-01,326348140.49088895,326348140.4892993,326348140.4924145
2023-04-01,327831549.0819279,327831549.0803257,327831549.0833806
2024-01-01,323233354.84013534,323233354.83865005,323233354.8416069
2024-02-01,321550465.4392598,321550465.4376326,321550465.4408214
2024-03-01,320417670.17212474,320417670.1705429,320417670.17378056
2024-04-01,323186722.9446821,323186722.94321936,323186722.94634074
2024-04-02,400670775.1449857,400670775.14342695,400670775.1466767
2024-04-03,463190544.52341056,463190544.5218665,463190544.5249911
2024-04-04,507616840.4031849,507616840.401435,507616840.40478575
2024-04-05,531161649.8438659,531161649.8421022,531161649.84559864
