vendor_id,vendor_name,gstin,state,business_type,gst_status,registration_date,compliance_rating
VND00000,"Fleming, Jones and Anderson",24P1O6L5F4O5IZ5,Illinois,Manufacturer,Active,2025-10-29,70
VND00001,Hawkins-Frederick,12VHRL8EAPSNUZ9,California,Service,Active,2019-12-18,69
VND00002,Johnson-Shields,30SA2UJCYYKF4Z2,Pennsylvania,Trader,Active,2024-10-08,93
VND00003,Horton PLC,148DMQS7YMVAQZ8,Kentucky,Service,Active,2023-11-20,80
VND00004,Fisher-Fox,24MTTK6KBK13GZ5,Ohio,Service,Active,2024-10-13,68
VND00005,"Miller, Johnson and Roberts",11HDAKSVAOTC5Z2,Washington,Service,Active,2020-02-09,45
VND00006,Smith Group,15D3IGFHVGBUBZ4,California,Service,Suspended,2020-02-07,36
VND00007,"Cortez, Grant and Hart",118TTLQDLO3X9Z1,Maine,Service,Active,2020-02-29,24
VND00008,Watson-English,22Z5DTVUC9BILZ2,South Carolina,Trader,Active,2025-01-22,53
VND00009,Fitzpatrick-Richard,29N1WGWFTB871Z9,Wyoming,Manufacturer,Active,2024-08-15,89
VND00010,"Johnson, Morales and Larsen",35IZ9JH35DS4FZ6,Indiana,Service,Suspended,2020-09-26,69
VND00011,"Leonard, Davidson and Kelly",14G54IB7PJ11BZ1,Connecticut,Trader,Active,2021-12-06,66
VND00012,"Martin, Lopez and Lucero",2733GAPXOKQ77Z1,New Jersey,Manufacturer,Active,2025-01-28,52
VND00013,Tucker-Braun,21NLQFAGJAJ34Z1,Washington,Manufacturer,Suspended,2020-07-23,41
VND00014,Wright PLC,19NGXHHM460ECZ8,California,Service,Active,2025-02-17,44
VND00015,Rivera LLC,13R31FRRYF4APZ2,Delaware,Manufacturer,Active,2019-07-25,93
VND00016,Gomez Inc,14VRZ9WUJZX92Z9,New Mexico,Manufacturer,Active,2026-01-16,16
VND00017,Gray-Hanna,378VSMKYNXWX2Z8,Montana,Service,Active,2019-04-20,49
VND00018,Roberts PLC,272AGLM0MS25UZ2,Oklahoma,Service,Active,2024-01-11,31
VND00019,Castillo-Carroll,323NRUJJGXRS1Z3,Nebraska,Manufacturer,Active,2018-07-26,8
VND00020,Richardson Inc,20W9NFJFN2JG7Z4,Colorado,Manufacturer,Active,2020-03-01,44
VND00021,Brown-Barnes,30WRD4UY2D7PFZ1,Connecticut,Service,Active,2021-04-17,66
VND00022,"Massey, Turner and Vincent",260WLQB2JZK2WZ1,Louisiana,Service,Active,2024-12-15,95
VND00023,Dalton-Fisher,26U3MA6D4OSXDZ4,Wyoming,Manufacturer,Active,2026-01-11,5
VND00024,"Johnson, Jacobson and Norton",19HOC0BF3DT99Z5,Colorado,Trader,Active,2018-11-12,43
VND00025,"Johnson, George and Taylor",23RX1MUW6VX3KZ7,Nevada,Manufacturer,Active,2020-01-30,51
VND00026,Zhang-Rice,2316LIE7P4KWFZ8,Arkansas,Manufacturer,Active,2024-01-12,29
VND00027,"Johnson, Hall and Davis",10S0URF6UQE6IZ1,California,Manufacturer,Active,2022-09-22,61
VND00028,Rojas-Rice,21RCADEVWPYGLZ4,Arizona,Service,Active,2019-12-13,31
VND00029,"Hunt, Valenzuela and Meyer",34ISB7NPYR0ESZ3,Pennsylvania,Service,Active,2019-05-27,6
VND00030,King-Daniels,29PST0JGEUYKRZ6,Pennsylvania,Trader,Active,2018-05-31,43
VND00031,"Hughes, Ayers and Hooper",13T5VZRXIHAGEZ6,Maryland,Manufacturer,Active,2018-12-10,6
VND00032,Gonzalez Ltd,30XVE3PX3QFRUZ9,Hawaii,Manufacturer,Active,2018-12-13,52
