vendor_id,mismatch_rate,filing_delay_frequency,gst_status_score,vendor_risk_score,risk_category
VND00000,0.184,0.02,9,8.15,Low
VND00001,0.218,0.156,2,14.98,Low
VND00002,0.201,0.111,12,12.47,Low
VND00003,0.127,0.265,4,15.71,Low
VND00004,0.298,0.108,7,16.23,Low
VND00005,0.241,0.3,3,21.64,Low
VND00006,0.266,0.146,13,16.48,Low
VND00007,0.22,0.137,0,14.29,Low
VND00008,0.195,0.319,5,20.59,Low
VND00009,0.078,0.22,18,11.95,Low
VND00010,0.221,0.285,5,20.27,Low
VND00011,0.016,0.165,2,7.23,Low
VND00012,0.236,0.076,18,12.5,Low
VND00013,0.061,0.177,2,9.53,Low
VND00014,0.078,0.134,11,8.46,Low
VND00015,0.061,0.053,5,4.57,Low
VND00016,0.013,0.384,18,15.85,Low
VND00017,0.199,0.386,15,23.4,Low
VND00018,0.004,0.213,18,8.68,Low
VND00019,0.137,0.07,9,8.29,Low
VND00020,0.237,0.266,10,20.12,Low
VND00021,0.141,0.196,10,13.48,Low
VND00022,0.146,0.046,9,7.67,Low
VND00023,0.234,0.392,5,25.02,Medium
VND00024,0.14,0.062,0,8.05,Low
VND00025,0.095,0.35,7,17.82,Low
VND00026,0.22,0.195,9,16.59,Low
VND00027,0.077,0.081,17,6.35,Low
VND00028,0.009,0.073,14,3.28,Low
VND00029,0.093,0.324,2,16.68,Low
VND00030,0.122,0.398,0,20.79,Low
VND00031,0.081,0.178,13,10.35,Low
VND00032,0.16,0.097,18,10.29,Low
VND00033,0.066,0.144,20,8.37,Low
VND00034,0.203,0.324,10,21.08,Low
VND00035,0.163,0.04,0,8.11,Low
VND00036,0.279,0.326,17,24.18,Low
VND00037,0.013,0.123,20,5.47,Low
VND00038,0.124,0.25,7,14.98,Low
VND00039,0.009,0.2,17,8.37,Low
VND00040,0.06,0.301,4,14.44,Low
VND00041,0.17,0.153,12,12.93,Low
VND00042,0.23,0.275,19,20.21,Low
VND00043,0.29,0.116,11,16.25,Low
VND00044,0.199,0.308,5,20.31,Low
VND00045,0.3,0.255,0,22.18,Low
VND00046,0.073,0.185,4,10.33,Low
VND00047,0.12,0.221,14,13.62,Low
VND00048,0.034,0.068,8,4.1,Low
VND00049,0.154,0.12,11,10.98,Low
VND00050,0.262,0.161,1,16.94,Low
VND00051,0.166,0.267,20,17.3,Low
VND00052,0.265,0.219,13,19.36,Low
VND00053,0.231,0.061,4,11.68,Low
VND00054,0.268,0.36,16,25.13,Medium
VND00055,0.1,0.243,0,13.75,Low
VND00056,0.109,0.373,1,19.28,Low
VND00057,0.138,0.358,10,19.84,Low
VND00058,0.168,0.29,7,18.32,Low
VND00059,0.069,0.149,0,8.7,Low
VND00060,0.111,0.32,18,17.25,Low
VND00061,0.194,0.004,0,7.94,Low
VND00062,0.015,0.089,6,4.16,Low
VND00063,0.236,0.222,0,18.31,Low
VND00064,0.286,0.316,9,24.05,Low
VND00065,0.038,0.175,7,8.53,Low
VND00066,0.11,0.323,1,17.31,Low
VND00067,0.156,0.005,13,6.42,Low
VND00068,0.073,0.157,4,9.18,Low
VND00069,0.271,0.392,2,26.52,Medium
VND00070,0.178,0.027,16,8.21,Low
VND00071,0.206,0.195,5,16.04,Low
VND00072,0.195,0.124,0,12.75,Low
VND00073,0.251,0.123,9,14.97,Low
VND00074,0.124,0.115,1,9.53,Low
VND00075,0.295,0.021,3,12.65,Low
VND00076,0.109,0.151,0,10.38,Low
VND00077,0.152,0.119,5,10.84,Low
VND00078,0.005,0.398,6,16.1,Low
VND00079,0.047,0.093,16,5.58,Low
VND00080,0.296,0.062,14,14.34,Low
VND00081,0.134,0.107,4,9.63,Low
VND00082,0.15,0.109,10,10.34,Low
VND00083,0.275,0.074,7,13.98,Low
VND00084,0.159,0.272,20,17.25,Low
VND00085,0.219,0.338,9,22.3,Low
VND00086,0.06,0.319,3,15.16,Low
VND00087,0.279,0.057,17,13.43,Low
VND00088,0.194,0.373,17,22.67,Low
VND00089,0.05,0.318,15,14.7,Low
VND00090,0.196,0.18,12,15.04,Low
VND00091,0.17,0.09,11,10.42,Low
VND00092,0.07,0.105,1,6.98,Low
VND00093,0.276,0.386,4,26.49,Medium
VND00094,0.011,0.272,5,11.35,Low
VND00095,0.195,0.305,8,19.99,Low
VND00096,0.088,0.112,6,8.0,Low
VND00097,0.184,0.241,1,16.97,Low
VND00098,0.213,0.043,19,10.24,Low
VND00099,0.232,0.322,0,22.16,Low
VND00100,0.055,0.043,20,3.92,Low
VND00101,0.039,0.304,6,13.75,Low
VND00102,0.053,0.336,10,15.57,Low
VND00103,0.25,0.391,18,25.63,Medium
VND00104,0.054,0.174,17,9.13,Low
VND00105,0.188,0.151,0,13.57,Low
VND00106,0.173,0.108,17,11.24,Low
VND00107,0.209,0.354,13,22.5,Low
VND00108,0.144,0.004,8,5.91,Low
VND00109,0.184,0.259,9,17.74,Low
VND00110,0.225,0.222,2,17.85,Low
VND00111,0.192,0.397,8,23.55,Low
VND00112,0.18,0.222,11,16.1,Low
VND00113,0.165,0.117,13,11.26,Low
